fold,train_rows,test_rows,auc,auc_ci_low,auc_ci_high,test_period
1,57463,13521,0.5443492365537164,0.5348895074139975,0.553711939636142,2018-02-01 → 2018-12-31
2,72195,15304,0.5633840152936992,0.5539237742309271,0.5724724165377256,2019-02-01 → 2019-12-31
3,88928,12299,0.5046314727958985,0.49377436392704804,0.5153528185744586,2020-02-01 → 2020-12-31
4,102882,16940,0.5649234732495226,0.5561300847219272,0.5742701138542705,2021-02-01 → 2021-12-31
5,121362,17294,0.49772791862785937,0.4893379570007889,0.5065598303270644,2022-02-01 → 2022-12-31
6,140391,18303,0.5089333522890933,0.500348778612258,0.5173032063203636,2023-02-01 → 2023-12-31
7,160243,20728,0.5360152653090655,0.5280634179159743,0.5436439251338944,2024-02-01 → 2024-12-31
8,183103,19994,0.5097140526216942,0.5019391151096328,0.5173636507861857,2025-02-01 → 2025-12-31
9,204972,14088,0.5505418667129007,0.5414322414060218,0.5596714428885428,2026-02-01 → 2026-08-24
