fold,train_rows,test_rows,auc,auc_ci_low,auc_ci_high,test_period
1,57463,13521,0.569288043890814,0.5587904001282172,0.5796679244625786,2018-02-01 → 2018-12-31
2,72195,15304,0.5678550689427727,0.5581170156792925,0.5780810589873114,2019-02-01 → 2019-12-31
3,88928,12299,0.4591138794217887,0.44931357928004956,0.4691980575519788,2020-02-01 → 2020-12-31
4,102882,16940,0.5865603962311036,0.5782328877685562,0.5948744708284947,2021-02-01 → 2021-12-31
5,121362,17294,0.49986805906102505,0.4906933267344799,0.5089987015532826,2022-02-01 → 2022-12-31
6,140391,18303,0.4997682715407923,0.4912540505295892,0.5084109590447333,2023-02-01 → 2023-12-31
7,160243,20728,0.5478120614295456,0.5396304769997563,0.5559866053469572,2024-02-01 → 2024-12-31
8,183103,19994,0.5006324543769747,0.49227832792310106,0.5091869403523341,2025-02-01 → 2025-12-31
9,204972,15182,0.4606224248230263,0.45118135455437364,0.47063454392021686,2026-02-01 → 2026-09-09
