fold,train_rows,test_rows,auc,auc_ci_low,auc_ci_high,test_period
1,57463,13521,0.5584779450049769,0.5474583869842896,0.5691464202334262,2018-02-01 → 2018-12-31
2,72195,15304,0.5528886622860316,0.5432893459034188,0.5624840082782446,2019-02-01 → 2019-12-31
3,88928,12299,0.4793340987370838,0.46891151968812406,0.48973798250841855,2020-02-01 → 2020-12-31
4,102882,16940,0.5768641535079477,0.5680931069880599,0.5855350108533292,2021-02-01 → 2021-12-31
5,121362,17294,0.5039353614283001,0.4946319636225273,0.5136354131235007,2022-02-01 → 2022-12-31
6,140391,18303,0.5286145935684999,0.5202499189539016,0.5372067511855447,2023-02-01 → 2023-12-31
7,160243,20728,0.5568581859127746,0.5490816654652227,0.5639276933494162,2024-02-01 → 2024-12-31
8,183103,19994,0.4902534337205845,0.48195706623719053,0.49868268164891505,2025-02-01 → 2025-12-31
9,204972,14088,0.4596200711731535,0.4496564274191212,0.46983747709982554,2026-02-01 → 2026-08-24
