config,label_col,n_features,mean_auc,std_auc,folds_below_half,fold_aucs
F_relative_rank_regime,Label_10d_relative,34,0.5496741665474192,0.024970018693434112,0,"[0.5742917062006156, 0.5951384983142145, 0.5153621742404556, 0.5713270709330224, 0.537547946799791, 0.5380201079233909, 0.518342370332927, 0.5520623460846136, 0.544975278097742]"
B_relative_label,Label_10d_relative,23,0.5396789409589772,0.036257167388249946,2,"[0.5639776112305606, 0.5886165820937933, 0.4890439680712087, 0.5497995382718417, 0.5273093821696833, 0.5019527601446783, 0.49145997061362245, 0.5645051083155201, 0.5804455477198855]"
C_rank_features,Label_10d,33,0.5290079999693483,0.05085747050932069,2,"[0.6022548943090126, 0.5827005294896554, 0.443581935337032, 0.5838359769395988, 0.518689887667565, 0.5062209342702958, 0.5346944571924792, 0.5236449127114656, 0.4654484718070302]"
E_rank_and_regime,Label_10d,34,0.5210364174401962,0.054558183611497654,3,"[0.6148096749672037, 0.5512079150786633, 0.4334272628023881, 0.5737496710284942, 0.459095690886927, 0.5193721416555634, 0.5459797311953166, 0.5170623877736137, 0.474623281573596]"
A_baseline,Label_10d,23,0.5199471464320014,0.04662270889740526,5,"[0.5683805212328175, 0.5667272856140592, 0.4651049274949229, 0.5871419746402016, 0.49894998207547603, 0.4974174005977766, 0.5491521082205417, 0.49937757816159245, 0.4472725398506246]"
D_regime_feature,Label_10d,24,0.5169385826603471,0.05430963283711598,3,"[0.6100701657505819, 0.5408122564157893, 0.4532793331947169, 0.5728441344161614, 0.42834065892225537, 0.5198311422574555, 0.5445501484860662, 0.5012474557319291, 0.48147194876816823]"
