Strategy,Trades,Win Rate %,Profit Factor,Mean Ret %,Total Ret %,Sharpe,Max DD %,Win Rate CI,Sharpe CI,Profit Fact CI
ML-validated,10585,44.87,1.242,0.8981,9506.45,0.37,-100.0,"[43.9, 45.8]","[0.279, 0.456]","[1.175, 1.308]"
Signal-only,14192,39.68,0.763,-0.8002,-11356.51,-0.464,-100.0,"[38.9, 40.5]","[-0.549, -0.377]","[0.727, 0.801]"
Always-in,149268,37.38,0.78,-0.727,-108519.86,-0.423,-100.0,"[37.1, 37.6]","[-0.449, -0.394]","[0.769, 0.793]"
