Threshold,Trades,Win Rate %,Profit Factor,Mean Ret/Trade %,Sharpe (ann.),Signal-only PF,PF Lift vs Signal-only
0.55,16447,43.6,1.163,0.6192,0.26,0.759,0.404
0.6,5126,47.6,1.453,1.5938,0.626,0.759,0.694
0.65,1364,48.4,1.775,2.663,0.868,0.759,1.016
