Symbol,Date,Close,RSI_14,MACD,BB_pctB,Volume_ratio,ML_confidence,Active_signals
BNL,2026-06-30,14301.8,41.70962322893551,-68.82393904158198,0.2247502227902268,0.45454545454545453,0.7055457,none
MDB,2026-07-01,605.0,53.29756614061769,-4.195763781044889,0.6412339210794755,3.3192085003499394,0.51097023,none
MLBBL,2026-07-01,1330.0,72.33877230628579,-0.96451325313069,1.4465882978546931,4.501628933151882,0.49240515,MACD-cross
RBCL,2026-07-01,14794.0,50.60389291222026,-181.02252755545123,0.5560700421251824,0.7191370355573312,0.56411576,none
RLFL,2026-07-01,429.0,39.86586763748139,2.7771738580292435,0.01321883402513174,0.40735638703752475,0.46589312,none
RAWA,2026-07-01,709.0,69.32752624845469,-18.067757543305788,1.1635689687270268,0.03430817144184581,0.56528115,MACD-cross
MNBBL,2026-07-01,352.0,22.553381118546383,-3.2472563748945618,-0.30270411429968175,1.0212554594502012,0.5115372,BB-lower
SBI,2026-07-01,399.0,54.77976473484991,-1.8437096120822505,0.8640615017147125,1.63264097171873,0.4923835,MACD-cross
MBL,2026-07-01,223.6,25.974566252126053,-3.3099282265229704,-0.39763496999772635,1.0409012266480044,0.54920816,BB-lower
RNLI,2026-07-01,461.1,51.91480551067144,-3.5927759057390745,0.5606470000265952,2.5930767490384374,0.5236119,none
MFIL,2026-07-01,760.0,42.91974827503154,-4.413979786850405,0.1299387526163388,4.861917026022844,0.5141169,none
NADEP,2026-07-01,810.0,64.16563664408248,-2.407001284449961,1.2795535222986254,1.0756363636363637,0.5008418,MACD-cross
MSHL,2026-07-01,816.2,66.2229217948479,-10.280091463986764,1.2025444201279576,1.3377010125074449,0.53171086,"RSI-oversold, MACD-cross"
NLG,2026-07-01,681.0,64.4093109338466,0.4390361294292688,1.1338302005354897,0.8389618309325597,0.57213086,MACD-cross
NLIC,2026-07-01,766.9,56.68297035305263,-4.824961314368238,0.790919566744437,1.0206419442510275,0.51932263,RSI-oversold
NIL,2026-07-01,615.0,44.08212112089164,-3.983110176232458,0.23954457378049593,0.8370274298766914,0.3987047,none
NMB,2026-07-01,237.2,37.85067523557333,-2.050340146897213,0.14309896868608232,1.1524614254224834,0.45285317,none
NRIC,2026-07-01,1294.0,70.21392198788071,12.403142193252506,1.3751127550813185,1.0694987550594626,0.53927076,MACD-cross
SANIMA,2026-07-01,335.5,28.09904479618945,-3.7599725836327593,-0.1889053909419127,1.7515441502448914,0.5237391,BB-lower
SANVI,2026-07-01,735.0,59.29451855331407,-11.406064334656776,1.065255886105304,4.861917026022844,0.4491758,MACD-cross
SAHAS,2026-07-01,548.0,24.747673798105964,-9.492078051795032,-0.4858719001579685,0.7476161607644911,0.55684215,BB-lower
NICL,2026-07-01,504.0,42.63979864329573,0.3753965139712818,0.1681969342543563,0.5502026598432477,0.40432748,none
NICA,2026-07-01,343.8,53.99295453903656,-4.563873730051625,0.7543427625613082,2.6322183259169845,0.47242326,MACD-cross
